SALES_TRN_REF,SALES_TRN_PRD_CODE,SALES_TRN_AMT,SALES_TRN_DATE,EMP_ID,SALES_POINT
TRN_1000118,PRD_04,66000,1/2/2022,EMP_23,STORE
TRN_1000119,PRD_05,132000,1/2/2022,EMP_23,CABIN
TRN_1000120,PRD_06,12600,1/2/2022,EMP_23,STORE
TRN_1000121,PRD_07,18900,1/2/2022,EMP_23,CABIN
TRN_1000122,PRD_08,26400,1/2/2022,EMP_23,STORE
TRN_1000123,PRD_09,33000,1/2/2022,EMP_23,CABIN
TRN_1000124,PRD_11,3780,1/2/2022,EMP_01,STORE
TRN_1000125,PRD_02,198000,1/2/2022,EMP_12,CABIN
TRN_1000126,PRD_15,19800,1/2/2022,EMP_03,STORE
TRN_1000127,PRD_01,132000,1/2/2022,EMP_11,CABIN
TRN_1000128,PRD_09,33000,1/2/2022,EMP_33,CABIN
TRN_1000129,PRD_10,6600,1/2/2022,EMP_33,STORE
TRN_1000130,PRD_11,3780,1/2/2022,EMP_33,CABIN
TRN_1000131,PRD_12,3780,1/2/2022,EMP_33,STORE
TRN_1000132,PRD_13,6600,1/2/2022,EMP_33,CABIN
TRN_1000133,PRD_05,132000,1/2/2022,EMP_22,STORE
TRN_1000134,PRD_06,12600,1/2/2022,EMP_22,CABIN
TRN_1000135,PRD_03,264000,1/2/2022,EMP_23,CABIN
TRN_1000136,PRD_04,66000,1/2/2022,EMP_23,STORE
TRN_1000137,PRD_05,132000,1/2/2022,EMP_23,CABIN
TRN_1000138,PRD_06,12600,1/2/2022,EMP_23,STORE
TRN_1000139,PRD_07,18900,1/2/2022,EMP_23,CABIN
TRN_1000140,PRD_09,33000,1/2/2022,EMP_01,STORE
TRN_1000141,PRD_15,19800,1/2/2022,EMP_11,CABIN
TRN_1000142,PRD_13,6600,1/2/2022,EMP_03,STORE
TRN_1000143,PRD_03,264000,1/2/2022,EMP_31,STORE
TRN_1000144,PRD_04,66000,1/2/2022,EMP_31,CABIN
TRN_1000145,PRD_06,12600,1/2/2022,EMP_02,STORE
TRN_1000146,PRD_12,3780,1/2/2022,EMP_12,CABIN
TRN_1000147,PRD_10,6600,1/2/2022,EMP_11,STORE
TRN_1000148,PRD_11,3780,1/2/2022,EMP_11,CABIN
TRN_1000149,PRD_12,3780,1/2/2022,EMP_11,STORE
TRN_1000150,PRD_13,6600,1/2/2022,EMP_11,CABIN
TRN_1000151,PRD_14,2520,1/2/2022,EMP_11,STORE
TRN_1000152,PRD_15,19800,1/2/2022,EMP_11,CABIN
TRN_1000153,PRD_02,198000,1/2/2022,EMP_23,CABIN
TRN_1000154,PRD_08,26400,1/2/2022,EMP_33,STORE
TRN_1000155,PRD_09,33000,1/2/2022,EMP_33,CABIN
TRN_1000156,PRD_09,33000,1/2/2022,EMP_23,CABIN
TRN_1000157,PRD_03,264000,1/3/2022,EMP_01,STORE
TRN_1000158,PRD_04,66000,1/3/2022,EMP_01,CABIN
TRN_1000159,PRD_05,132000,1/3/2022,EMP_01,STORE
TRN_1000160,PRD_06,12600,1/3/2022,EMP_01,CABIN
TRN_1000161,PRD_07,18900,1/3/2022,EMP_01,STORE
TRN_1000162,PRD_08,26400,1/3/2022,EMP_01,CABIN
TRN_1000163,PRD_10,6600,1/3/2022,EMP_12,CABIN
TRN_1000164,PRD_01,132000,1/3/2022,EMP_23,STORE
TRN_1000165,PRD_02,198000,1/3/2022,EMP_23,CABIN
TRN_1000166,PRD_15,19800,1/3/2022,EMP_21,STORE
TRN_1000167,PRD_01,132000,1/3/2022,EMP_22,CABIN
TRN_1000168,PRD_02,198000,1/3/2022,EMP_22,STORE
TRN_1000169,PRD_03,264000,1/3/2022,EMP_22,CABIN
TRN_1000170,PRD_04,66000,1/3/2022,EMP_22,STORE
TRN_1000171,PRD_05,132000,1/3/2022,EMP_22,CABIN
TRN_1000172,PRD_07,18900,1/3/2022,EMP_33,CABIN
TRN_1000173,PRD_13,6600,1/3/2022,EMP_03,CABIN
TRN_1000174,PRD_10,6600,1/3/2022,EMP_11,CABIN
TRN_1000175,PRD_11,3780,1/3/2022,EMP_11,STORE
TRN_1000176,PRD_12,3780,1/3/2022,EMP_11,CABIN
TRN_1000177,PRD_13,6600,1/3/2022,EMP_11,STORE
TRN_1000178,PRD_14,2520,1/3/2022,EMP_11,CABIN
TRN_1000179,PRD_01,132000,1/3/2022,EMP_23,CABIN
TRN_1000180,PRD_07,18900,1/3/2022,EMP_33,STORE
TRN_1000181,PRD_08,26400,1/3/2022,EMP_33,CABIN
TRN_1000182,PRD_06,12600,1/3/2022,EMP_32,STORE
TRN_1000183,PRD_11,3780,1/3/2022,EMP_12,CABIN
TRN_1000184,PRD_13,6600,1/3/2022,EMP_23,CABIN
TRN_1000185,PRD_04,66000,1/3/2022,EMP_01,CABIN
TRN_1000186,PRD_06,12600,1/3/2022,EMP_12,CABIN
TRN_1000187,PRD_03,264000,1/3/2022,EMP_33,STORE
TRN_1000188,PRD_04,66000,1/3/2022,EMP_33,CABIN
TRN_1000189,PRD_05,132000,1/3/2022,EMP_33,STORE
TRN_1000190,PRD_06,12600,1/3/2022,EMP_33,CABIN
TRN_1000191,PRD_07,18900,1/3/2022,EMP_33,STORE
TRN_1000192,PRD_08,26400,1/3/2022,EMP_33,CABIN
TRN_1000193,PRD_15,19800,1/3/2022,EMP_21,STORE
TRN_1000194,PRD_01,132000,1/3/2022,EMP_22,CABIN
TRN_1000195,PRD_13,6600,1/3/2022,EMP_22,CABIN
TRN_1000196,PRD_05,132000,1/3/2022,EMP_23,STORE
TRN_1000197,PRD_06,12600,1/3/2022,EMP_23,CABIN
TRN_1000198,PRD_07,18900,1/3/2022,EMP_23,STORE
TRN_1000199,PRD_08,26400,1/3/2022,EMP_23,CABIN
TRN_1000200,PRD_09,33000,1/3/2022,EMP_23,STORE
TRN_1000201,PRD_10,6600,1/3/2022,EMP_23,CABIN
TRN_1000202,PRD_12,3780,1/3/2022,EMP_01,STORE
TRN_1000203,PRD_03,264000,1/3/2022,EMP_12,CABIN
TRN_1000204,PRD_01,132000,1/3/2022,EMP_11,STORE
TRN_1000205,PRD_02,198000,1/3/2022,EMP_11,CABIN
TRN_1000206,PRD_10,6600,1/3/2022,EMP_33,CABIN
TRN_1000207,PRD_11,3780,1/3/2022,EMP_33,STORE
TRN_1000208,PRD_12,3780,1/3/2022,EMP_33,CABIN
TRN_1000209,PRD_13,6600,1/3/2022,EMP_33,STORE
TRN_1000210,PRD_14,2520,1/3/2022,EMP_33,CABIN
TRN_1000211,PRD_06,12600,1/3/2022,EMP_22,STORE
TRN_1000212,PRD_07,18900,1/3/2022,EMP_22,CABIN
TRN_1000213,PRD_04,66000,1/3/2022,EMP_23,CABIN
TRN_1000214,PRD_05,132000,1/3/2022,EMP_23,STORE
TRN_1000215,PRD_06,12600,1/3/2022,EMP_23,CABIN
TRN_1000216,PRD_07,18900,1/3/2022,EMP_23,STORE
TRN_1000217,PRD_08,26400,1/3/2022,EMP_23,CABIN
TRN_1000218,PRD_10,6600,1/3/2022,EMP_01,STORE
TRN_1000219,PRD_01,132000,1/3/2022,EMP_12,CABIN
TRN_1000220,PRD_14,2520,1/3/2022,EMP_03,STORE
TRN_1000221,PRD_04,66000,1/3/2022,EMP_31,STORE
TRN_1000222,PRD_05,132000,1/3/2022,EMP_31,CABIN
TRN_1000223,PRD_07,18900,1/3/2022,EMP_02,STORE
TRN_1000224,PRD_13,6600,1/3/2022,EMP_12,CABIN
TRN_1000225,PRD_11,3780,1/3/2022,EMP_11,STORE
TRN_1000226,PRD_12,3780,1/3/2022,EMP_11,CABIN
TRN_1000227,PRD_13,6600,1/3/2022,EMP_11,STORE
TRN_1000228,PRD_14,2520,1/3/2022,EMP_11,CABIN
TRN_1000229,PRD_15,19800,1/3/2022,EMP_11,STORE
TRN_1000230,PRD_01,132000,1/3/2022,EMP_12,CABIN
TRN_1000231,PRD_03,264000,1/3/2022,EMP_23,CABIN
TRN_1000232,PRD_09,33000,1/3/2022,EMP_33,STORE
TRN_1000233,PRD_10,6600,1/3/2022,EMP_33,CABIN
TRN_1000234,PRD_10,6600,1/3/2022,EMP_23,CABIN
TRN_1000235,PRD_04,66000,1/4/2022,EMP_01,STORE
TRN_1000236,PRD_05,132000,1/4/2022,EMP_01,CABIN
TRN_1000237,PRD_06,12600,1/4/2022,EMP_01,STORE
TRN_1000238,PRD_07,18900,1/4/2022,EMP_01,CABIN
TRN_1000239,PRD_08,26400,1/4/2022,EMP_01,STORE
TRN_1000240,PRD_09,33000,1/4/2022,EMP_01,CABIN
TRN_1000241,PRD_11,3780,1/4/2022,EMP_12,CABIN
TRN_1000242,PRD_02,198000,1/4/2022,EMP_23,STORE
TRN_1000243,PRD_03,264000,1/4/2022,EMP_23,CABIN
TRN_1000244,PRD_01,132000,1/4/2022,EMP_22,STORE
TRN_1000245,PRD_02,198000,1/4/2022,EMP_22,CABIN
TRN_1000246,PRD_03,264000,1/4/2022,EMP_22,STORE
TRN_1000247,PRD_04,66000,1/4/2022,EMP_22,CABIN
TRN_1000248,PRD_05,132000,1/4/2022,EMP_22,STORE
TRN_1000249,PRD_06,12600,1/4/2022,EMP_22,CABIN
TRN_1000250,PRD_08,26400,1/4/2022,EMP_33,CABIN
TRN_1000251,PRD_14,2520,1/4/2022,EMP_03,CABIN
TRN_1000252,PRD_11,3780,1/4/2022,EMP_11,CABIN
TRN_1000253,PRD_12,3780,1/4/2022,EMP_11,STORE
TRN_1000254,PRD_13,6600,1/4/2022,EMP_11,CABIN
TRN_1000255,PRD_14,2520,1/4/2022,EMP_11,STORE
TRN_1000256,PRD_15,19800,1/4/2022,EMP_11,CABIN
TRN_1000257,PRD_02,198000,1/4/2022,EMP_23,CABIN
TRN_1000258,PRD_08,26400,1/4/2022,EMP_33,STORE
TRN_1000259,PRD_09,33000,1/4/2022,EMP_33,CABIN
TRN_1000260,PRD_07,18900,1/4/2022,EMP_32,STORE
TRN_1000261,PRD_12,3780,1/4/2022,EMP_12,CABIN
TRN_1000262,PRD_14,2520,1/4/2022,EMP_23,CABIN
TRN_1000263,PRD_05,132000,1/4/2022,EMP_01,CABIN
TRN_1000264,PRD_07,18900,1/4/2022,EMP_12,CABIN
TRN_1000265,PRD_04,66000,1/4/2022,EMP_33,STORE
TRN_1000266,PRD_05,132000,1/4/2022,EMP_33,CABIN
TRN_1000267,PRD_06,12600,1/4/2022,EMP_33,STORE
TRN_1000268,PRD_07,18900,1/4/2022,EMP_33,CABIN
TRN_1000269,PRD_08,26400,1/4/2022,EMP_33,STORE
TRN_1000270,PRD_09,33000,1/4/2022,EMP_33,CABIN
TRN_1000271,PRD_01,132000,1/4/2022,EMP_22,STORE
TRN_1000272,PRD_02,198000,1/4/2022,EMP_22,CABIN
TRN_1000273,PRD_14,2520,1/4/2022,EMP_22,CABIN
TRN_1000274,PRD_06,12600,1/4/2022,EMP_23,STORE
TRN_1000275,PRD_07,18900,1/4/2022,EMP_23,CABIN
TRN_1000276,PRD_08,26400,1/4/2022,EMP_23,STORE
TRN_1000277,PRD_09,33000,1/4/2022,EMP_23,CABIN
TRN_1000278,PRD_10,6600,1/4/2022,EMP_23,STORE
TRN_1000279,PRD_11,3780,1/4/2022,EMP_23,CABIN
TRN_1000280,PRD_13,6600,1/4/2022,EMP_01,STORE
TRN_1000281,PRD_04,66000,1/4/2022,EMP_12,CABIN
TRN_1000282,PRD_02,198000,1/4/2022,EMP_11,STORE
TRN_1000283,PRD_03,264000,1/4/2022,EMP_11,CABIN
TRN_1000284,PRD_11,3780,1/4/2022,EMP_33,CABIN
TRN_1000285,PRD_12,3780,1/4/2022,EMP_33,STORE
TRN_1000286,PRD_13,6600,1/4/2022,EMP_33,CABIN
TRN_1000287,PRD_14,2520,1/4/2022,EMP_33,STORE
TRN_1000288,PRD_15,19800,1/4/2022,EMP_33,CABIN
TRN_1000289,PRD_07,18900,1/4/2022,EMP_22,STORE
TRN_1000290,PRD_08,26400,1/4/2022,EMP_22,CABIN
TRN_1000291,PRD_05,132000,1/4/2022,EMP_23,CABIN
TRN_1000292,PRD_06,12600,1/4/2022,EMP_23,STORE
TRN_1000293,PRD_07,18900,1/4/2022,EMP_23,CABIN
TRN_1000294,PRD_08,26400,1/4/2022,EMP_23,STORE
TRN_1000295,PRD_09,33000,1/4/2022,EMP_23,CABIN
TRN_1000296,PRD_11,3780,1/4/2022,EMP_01,STORE
TRN_1000297,PRD_02,198000,1/4/2022,EMP_12,CABIN
TRN_1000298,PRD_15,19800,1/4/2022,EMP_03,STORE
TRN_1000299,PRD_05,132000,1/4/2022,EMP_31,STORE
TRN_1000300,PRD_06,12600,1/4/2022,EMP_31,CABIN
TRN_1000301,PRD_08,26400,1/4/2022,EMP_02,STORE
TRN_1000302,PRD_14,2520,1/4/2022,EMP_12,CABIN
TRN_1000303,PRD_12,3780,1/4/2022,EMP_11,STORE
TRN_1000304,PRD_13,6600,1/4/2022,EMP_11,CABIN
TRN_1000305,PRD_14,2520,1/4/2022,EMP_11,STORE
TRN_1000306,PRD_15,19800,1/4/2022,EMP_11,CABIN
TRN_1000307,PRD_01,132000,1/4/2022,EMP_12,STORE
TRN_1000308,PRD_02,198000,1/4/2022,EMP_12,CABIN
TRN_1000309,PRD_04,66000,1/4/2022,EMP_23,CABIN
TRN_1000310,PRD_10,6600,1/4/2022,EMP_33,STORE
TRN_1000311,PRD_11,3780,1/4/2022,EMP_33,CABIN
TRN_1000312,PRD_11,3780,1/4/2022,EMP_23,CABIN
TRN_1000313,PRD_05,132000,1/5/2022,EMP_01,STORE
TRN_1000314,PRD_06,12600,1/5/2022,EMP_01,CABIN
TRN_1000315,PRD_07,18900,1/5/2022,EMP_01,STORE
TRN_1000316,PRD_08,26400,1/5/2022,EMP_01,CABIN
TRN_1000317,PRD_09,33000,1/5/2022,EMP_01,STORE
TRN_1000318,PRD_10,6600,1/5/2022,EMP_01,CABIN
TRN_1000319,PRD_12,3780,1/5/2022,EMP_12,CABIN
TRN_1000320,PRD_03,264000,1/5/2022,EMP_23,STORE
TRN_1000321,PRD_04,66000,1/5/2022,EMP_23,CABIN
TRN_1000322,PRD_02,198000,1/5/2022,EMP_22,STORE
TRN_1000323,PRD_03,264000,1/5/2022,EMP_22,CABIN
TRN_1000324,PRD_04,66000,1/5/2022,EMP_22,STORE
TRN_1000325,PRD_05,132000,1/5/2022,EMP_22,CABIN
TRN_1000326,PRD_06,12600,1/5/2022,EMP_22,STORE
TRN_1000327,PRD_07,18900,1/5/2022,EMP_22,CABIN
TRN_1000328,PRD_09,33000,1/5/2022,EMP_33,CABIN
TRN_1000329,PRD_15,19800,1/5/2022,EMP_03,CABIN
TRN_1000330,PRD_12,3780,1/5/2022,EMP_11,CABIN
TRN_1000331,PRD_13,6600,1/5/2022,EMP_11,STORE
TRN_1000332,PRD_14,2520,1/5/2022,EMP_11,CABIN
TRN_1000333,PRD_15,19800,1/5/2022,EMP_11,STORE
TRN_1000334,PRD_01,132000,1/5/2022,EMP_12,CABIN
TRN_1000335,PRD_03,264000,1/5/2022,EMP_23,CABIN
TRN_1000336,PRD_09,33000,1/5/2022,EMP_33,STORE
TRN_1000337,PRD_10,6600,1/5/2022,EMP_33,CABIN
TRN_1000338,PRD_08,26400,1/5/2022,EMP_32,STORE
TRN_1000339,PRD_13,6600,1/5/2022,EMP_12,CABIN
TRN_1000340,PRD_15,19800,1/5/2022,EMP_23,CABIN
TRN_1000341,PRD_06,12600,1/5/2022,EMP_01,CABIN
TRN_1000342,PRD_08,26400,1/5/2022,EMP_12,CABIN
TRN_1000343,PRD_05,132000,1/5/2022,EMP_33,STORE
TRN_1000344,PRD_06,12600,1/5/2022,EMP_33,CABIN
TRN_1000345,PRD_07,18900,1/5/2022,EMP_33,STORE
TRN_1000346,PRD_08,26400,1/5/2022,EMP_33,CABIN
TRN_1000347,PRD_09,33000,1/5/2022,EMP_33,STORE
TRN_1000348,PRD_10,6600,1/5/2022,EMP_33,CABIN
TRN_1000349,PRD_02,198000,1/5/2022,EMP_22,STORE
TRN_1000350,PRD_03,264000,1/5/2022,EMP_22,CABIN
TRN_1000351,PRD_15,19800,1/5/2022,EMP_22,CABIN
TRN_1000352,PRD_07,18900,1/5/2022,EMP_23,STORE
TRN_1000353,PRD_08,26400,1/5/2022,EMP_23,CABIN
TRN_1000354,PRD_09,33000,1/5/2022,EMP_23,STORE
TRN_1000355,PRD_10,6600,1/5/2022,EMP_23,CABIN
TRN_1000356,PRD_11,3780,1/5/2022,EMP_23,STORE
TRN_1000357,PRD_12,3780,1/5/2022,EMP_23,CABIN
TRN_1000358,PRD_14,2520,1/5/2022,EMP_01,STORE
TRN_1000359,PRD_05,132000,1/5/2022,EMP_12,CABIN
TRN_1000360,PRD_03,264000,1/5/2022,EMP_11,STORE
TRN_1000361,PRD_04,66000,1/5/2022,EMP_11,CABIN
TRN_1000362,PRD_12,3780,1/5/2022,EMP_33,CABIN
TRN_1000363,PRD_13,6600,1/5/2022,EMP_33,STORE
TRN_1000364,PRD_14,2520,1/5/2022,EMP_33,CABIN
TRN_1000365,PRD_15,19800,1/5/2022,EMP_33,STORE
TRN_1000366,PRD_02,198000,1/5/2022,EMP_12,CABIN
TRN_1000367,PRD_08,26400,1/5/2022,EMP_22,STORE
TRN_1000368,PRD_09,33000,1/5/2022,EMP_22,CABIN
TRN_1000369,PRD_06,12600,1/5/2022,EMP_23,CABIN
TRN_1000370,PRD_07,18900,1/5/2022,EMP_23,STORE
TRN_1000371,PRD_08,26400,1/5/2022,EMP_23,CABIN
TRN_1000372,PRD_09,33000,1/5/2022,EMP_23,STORE
TRN_1000373,PRD_10,6600,1/5/2022,EMP_23,CABIN
TRN_1000374,PRD_12,3780,1/5/2022,EMP_01,STORE
TRN_1000375,PRD_03,264000,1/5/2022,EMP_12,CABIN
TRN_1000376,PRD_01,132000,1/5/2022,EMP_11,STORE
TRN_1000377,PRD_06,12600,1/5/2022,EMP_31,STORE
TRN_1000378,PRD_07,18900,1/5/2022,EMP_31,CABIN
TRN_1000379,PRD_09,33000,1/5/2022,EMP_02,STORE
TRN_1000380,PRD_15,19800,1/5/2022,EMP_12,CABIN
TRN_1000381,PRD_13,6600,1/5/2022,EMP_11,STORE
TRN_1000382,PRD_14,2520,1/5/2022,EMP_11,CABIN
TRN_1000383,PRD_15,19800,1/5/2022,EMP_11,STORE
TRN_1000384,PRD_01,132000,1/5/2022,EMP_12,CABIN
TRN_1000385,PRD_02,198000,1/5/2022,EMP_12,STORE
TRN_1000386,PRD_03,264000,1/5/2022,EMP_12,CABIN
TRN_1000387,PRD_05,132000,1/5/2022,EMP_23,CABIN
TRN_1000388,PRD_11,3780,1/5/2022,EMP_33,STORE
TRN_1000389,PRD_12,3780,1/5/2022,EMP_33,CABIN
TRN_1000390,PRD_12,3780,1/5/2022,EMP_23,CABIN
TRN_1000391,PRD_06,12600,1/6/2022,EMP_01,STORE
TRN_1000392,PRD_07,18900,1/6/2022,EMP_01,CABIN
TRN_1000393,PRD_08,26400,1/6/2022,EMP_01,STORE
TRN_1000394,PRD_09,33000,1/6/2022,EMP_01,CABIN
TRN_1000395,PRD_10,6600,1/6/2022,EMP_01,STORE
TRN_1000396,PRD_11,3780,1/6/2022,EMP_01,CABIN
TRN_1000397,PRD_13,6600,1/6/2022,EMP_12,CABIN
TRN_1000398,PRD_04,66000,1/6/2022,EMP_23,STORE
TRN_1000399,PRD_05,132000,1/6/2022,EMP_23,CABIN
TRN_1000400,PRD_03,264000,1/6/2022,EMP_22,STORE
TRN_1000401,PRD_04,66000,1/6/2022,EMP_22,CABIN
